,index,id,mssubclass,mszoning,lotfrontage,lotarea,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,masvnrtype,masvnrarea,exterqual,foundation,bsmtqual,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtunfsf,heatingqc,grlivarea,bsmtfullbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,functional,fireplaces,fireplacequ,garagetype,garagefinish,garagearea,garagecond,wooddecksf,mosold,yrsold,salecondition,saleprice,porchpres,poolpres,garagepres,fireplacepres,masvnrpres,bsmtpres,shedpres,exterior,age_sold,2ndfloorpres,bighouse
0,0,1,60,RL,65.0,8450,0,Lvl,Inside,flat,CollgCr,Norm,1Fam,2Story,7,5,4012009,2003,Gable,BrkFace,196.0,4,PConc,16,1,GLQ,706,150,25,1710,1,2,1,3,1,4,Typ,0,0,Attchd,RFn,548,TA,0,2,2008,Normal,208500,1,0,1,0,1,1,0,Vinyl,5.0,1,0.0
1,1,2,20,RL,80.0,9600,0,Lvl,FR2,flat,Veenker,Feedr,1Fam,1Story,6,8,3904576,1976,Gable,None,0.0,3,CBlock,16,4,ALQ,978,284,25,1262,0,2,0,3,1,3,Typ,1,3,Attchd,RFn,460,TA,298,5,2007,Normal,181500,0,0,1,1,0,1,0,Metal,31.0,0,0.0
2,2,3,60,RL,68.0,11250,1,Lvl,Inside,flat,CollgCr,Norm,1Fam,2Story,7,5,4004001,2002,Gable,BrkFace,162.0,4,PConc,16,2,GLQ,486,434,25,1786,1,2,1,3,1,4,Typ,1,3,Attchd,RFn,608,TA,0,9,2008,Normal,223500,1,0,1,1,1,1,0,Vinyl,7.0,1,0.0
3,3,4,70,RL,60.0,9550,1,Lvl,Corner,flat,Crawfor,Norm,1Fam,2Story,7,5,3667225,1970,Gable,None,0.0,3,BrkTil,9,1,ALQ,216,540,16,1717,1,1,0,3,1,4,Typ,1,4,Detchd,Unf,642,TA,0,2,2006,Abnorml,140000,1,0,1,1,0,1,0,Wood,91.0,1,0.0
4,4,5,60,RL,84.0,14260,1,Lvl,FR2,flat,NoRidge,Norm,1Fam,2Story,8,5,4000000,2000,Gable,BrkFace,350.0,4,PConc,16,3,GLQ,655,490,25,2198,1,2,1,4,1,4,Typ,1,3,Attchd,RFn,836,TA,192,12,2008,Normal,250000,1,0,1,1,1,1,0,Vinyl,8.0,1,0.0
5,5,6,50,RL,85.0,14115,1,Lvl,Inside,flat,Mitchel,Norm,1Fam,1.5Fin,5,5,3972049,1995,Gable,None,0.0,3,Wood,16,1,GLQ,732,64,25,1362,1,1,1,1,1,3,Typ,0,0,Attchd,Unf,480,TA,40,10,2009,Normal,143000,1,0,1,0,0,1,1,Vinyl,16.0,1,0.0
6,6,7,20,RL,75.0,10084,0,Lvl,Inside,flat,Somerst,Norm,1Fam,1Story,8,5,4016016,2005,Gable,Stone,186.0,4,PConc,25,3,GLQ,1369,317,25,1694,1,2,0,3,1,4,Typ,1,4,Attchd,RFn,636,TA,255,8,2007,Normal,307000,1,0,1,1,1,1,0,Vinyl,3.0,0,0.0
7,7,8,60,RL,80.0,10382,1,Lvl,Corner,flat,NWAmes,PosN,1Fam,2Story,7,6,3892729,1973,Gable,Stone,240.0,3,CBlock,16,2,ALQ,859,216,25,2090,1,2,1,3,1,3,Typ,2,3,Attchd,RFn,484,TA,235,11,2009,Normal,200000,1,0,1,1,1,1,1,Wood,36.0,1,0.0
8,8,9,50,RM,51.0,6120,0,Lvl,Inside,flat,OldTown,Artery,1Fam,1.5Fin,7,5,3728761,1950,Gable,None,0.0,3,BrkTil,9,1,Unf,0,952,16,1774,0,2,0,2,2,3,Min1,2,3,Detchd,Unf,468,TA,90,4,2008,Abnorml,129900,1,0,1,1,0,1,0,Brick,77.0,1,0.0
9,9,10,190,RL,50.0,7420,0,Lvl,Corner,flat,BrkSide,Artery,2fmCon,1.5Unf,5,6,3759721,1950,Gable,None,0.0,3,BrkTil,9,1,GLQ,851,140,25,1077,1,1,0,2,2,3,Typ,2,3,Attchd,RFn,205,TA,0,1,2008,Normal,118000,1,0,1,1,0,1,0,Metal,69.0,0,0.0
